2026-07-22 09:26:10.244 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE066A01021/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:10.273 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE192A01025/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:10.302 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE670A01012/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:10.333 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE672A01026/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:10.363 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE1TAE01010/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:10.406 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE155A01022/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:14.820 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE016A01026/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:14.848 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE361B01024/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:14.878 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE089A01031/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:14.903 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE982J01020/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:14.935 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE151A01013/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:14.953 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE672A01026/day/2026-07-22/2026-06-22: Event loop is closed
